;;;;;Стоимость;;фото для баннеров;
товар ;;категория;Название; ;;;DSC_2439.jpg;два изумрудных кольца на руке
1;DSC_2367.jpg;Помолвочные кольца;кольцо с бриллиантом один карат;"Роскошное кольцо в белом золоте с бриллиантом 1 карат. 
Кольцо, которое подчеркнет вашу индивидуальность и элегантность. Центральным элементом кольца является сверкающий бриллиант весом 1 карат, окруженный изящной бриллиантовой дорожкой, создающей эффект бесконечного сияния.
Характеристики изделия:
- Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте).
- Центральный камень: природный бриллиант 1 карат G SI1
- Дополнительные камни: природные бриллианты в дорожке общим весом 0,544 карат

Это кольцо станет прекрасным выбором для особых случаев, таких как помолвка, свадьба или подарок любимой. Оно идеально подойдет для тех, кто ценит классику и изысканность. Изделие изготовлено с использованием высококачественных материалов и ювелирных техник, гарантирующих долговечность и сохранение блеска на долгие годы.

Подчеркните свою уникальность шедевром ювелирного искусства!   


Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.            * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";1 100 000,00  ;;DSC_2487.jpg;кольцо с топазом и льдом
;DSC_2373.jpg;;;;;;DSC_2517.jpg;кольцо с топазом и льдом
2;DSC_2380.jpg;Помолвочные кольца;"кольцо с бриллиантом ""принцесса""";"Изящное кольцо в белом золоте с природным бриллиантом огранки ""Принцесса""

Представляем исключительный дизайн, сочетающий роскошь белого золота и великолепие центрального бриллианта огранки ""Принцесса"" весом 1 карат. Этот драгоценный камень обладает уникальной квадратной формой, придающей кольцу современный и утончённый вид.

Окружённая тонкой бриллиантовой дорожкой, центральная вставка создает ощущение непрерывного мерцания света. Такое изделие прекрасно дополнит образ невесты или украсит руку женщины, предпочитающей элегантность и шарм.

Характеритсики изделия:

- Материал:  золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте)
- Центральный камень: природный бриллиант огранки ""Принцесса"", вес 1 карат.
- Дополнительные вставки: бриллиантовая дорожка.

Кольцо станет идеальным подарком для романтического повода, свадьбы или просто символическим выражением любви и восхищения.

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.                    * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.
";1 350 000,00  ;;DSC_2817.jpg;Пара рук в театре
;DSC_2386.jpg;;;;;;DSC_2945.jpg;кольца с цветком
3;DSC_2398.jpg;Помолвочные кольца;Помолвочное кольцо с бриллиантом 0,5 карат;"Кольцо из золота с природным бриллиантом 0,5 карат — эксклюзивный подарок.  

Кольцо выполнено в классическом стиле с современной интерпретацией, идеально подходит для любого случая.

Характеристики изделия:

- Материал:  золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте)
- Центральный камень: природный бриллиант круголой огранки, вес 0,5 карат F VVS2
- Дополнительные вставки: бриллиантовая дорожка общим весом 1,2 карат

Мы используем исключительно природные камни высшего качества, подчеркивающие уникальность вашего выбора.

 Дорожка из мелких бриллиантов: Добавляет роскоши и делает намного заметнее центральный бриллиант.

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.                     * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.
";450 000,00  ;;;
;DSC_2403.jpg;;;;;;DSC_3013.jpg;морганит с круасанами
;DSC_3046.jpg;;;;;;;
4;DSC_2407.jpg;Кольца с цветными камнями;Кольцо с природным изумрудом;"Кольцо из белого золота с изумрудом и бриллиантами — воплощение элегантности и стиля.

 Центральный камень — натуральный изумруд, обладающий неповторимым оттенком зеленого цвета, символизирует мудрость, богатство и гармонию. 

Ободок из мельчайших бриллиантов усиливает блеск изумруда, создавая игру света и тени. Благодаря такому сочетанию цветов и форм создается уникальное ювелирное украшение, привлекающее внимание и восхищение окружающих.

  
Характеристики изделия: 
- Материал:  золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте)
- Центральный камень: природный изумруд ""Принцесса"", вес 0,61 карат.
- Дополнительные вставки: природные бриллианты общим весом 0,3 карат. 
  Возможность изготовления под заказ. Мы предлагаем вам возможность создать уникальное украшение, соответствующее вашим предпочтениям и требованиям. Вы сможете выбрать идеальный размер и форму изделия, сделав его поистине индивидуальным.    
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.       * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.
";180 000,00  ;;DSC_3135.jpg;Руки с тестом
;DSC_2425.jpg;;;;;;;
5;DSC_2447.jpg;Кольца с цветными камнями;Кольцо с морганитом и бриллиантами фантазийной огранки;"Женское кольцо с природным морганитом и боковыми бриллиантами.
Натуральный розовый морганит, наделённый магической способностью привлекать удачу и счастье. Фантазийная огранка бриллиантов добавляет дизайну особый шарм и подчеркивает уникальные грани центрального камня.
Характеристики изделия: - Материал:  золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте)
- Центральный камень: природный морганит. - Дополнительгые вставки: бриллианты фаназийной огранки.
Авторская работа мастеров-ювелиров, позволяющая воплотить ваши самые смелые идеи. Натуральные и сертифицированные камни, гарантирующие подлинность и высокое качество каждого изделия.

Хотите поразить близких оригинальным подарком или подчеркнуть свою оригинальность и тонкое чувство вкуса? Тогда это кольцо точно придется вам по душе!

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.          * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.
";по запросу;;;
6;DSC_2461.jpg;Кольца с цветными камнями;Кольцо с цитрином;"Кольцо с цитрином и натуральными бриллиантами — символ счастья и благополучия.

Это кольцо воплотило в себе тепло солнечных лучей. Цитрин канареечного цвета окружённый сиянием природных бриллиантов. 

Основные преимущества нашего кольца:

- Редкость природного материала: Цитрины ценятся коллекционерами и поклонниками украшений за редкую глубину оттенков и способность создавать ощущение внутреннего тепла.
- Природные бриллианты: гармонично дополняют свет и переливы цитрина, усиливая визуальную привлекательность изделия.
- Классический дизайн: Простота и лаконичность позволяют носить кольцо ежедневно, придавая уверенность и шарм.
Характеристики изделия:

- Материал:  золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте)
- Центральный камень: природный цитрин 
- Дополнительные вставки: природные бриллианты общим весом 0,87 карат.
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.    * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней
";260 000,00  ;;;
;DSC_2467.jpg;;;;;;;
7;DSC_2481.jpg;Кольца с цветными камнями;Кольцо с голубым топазом;"Кольцо с небесно-голубым топазом и сверкающей бриллиантовой дорожкой.
Кольцо с голубым топазом, как настоящее произведение ювелирного искусства, поражающим своим спокойствием и женственностью. Небесно-голубой оттенок натурального топаза создаёт впечатление лёгкости и свежести, словно капля чистой воды, наполненная светом. 
Характеристика изделия:
- Материал: золото 750/580 пробы (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте).
- Центральный камень: топаз нежно-голубого цвета 1,5 карат.
- Дополнительные камни: природные бриллианты в дорожке общим весом 0,3 карат.
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет. * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней

";123 000,00  ;;;
;DSC_2479.jpg;;;;;;;
;DSC_3063.jpg;;;;;;;
8;DSC_2499.jpg;Кольца с бриллиантами;"Кольцо с бриллиантом эмеральд 
";"Кольцо с бриллиантом огранки Эмеральд


Идеальное сочетание роскоши и стиля, кольцо выполнено в золоте и украшено центральным бриллиантом изумрудной огранки с бриллиантовой дорожкой. Это кольцо станет отражением вашего безупречного вкуса и элегантности.
Характеристики изделия:  - Материал: золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте).
- Центральный камень: Природный бриллиант идеальной огранки Эмеральд (изумрудной огранки) придает изделию неповторимый шарм и изысканность.
- Дополнительные камни: дорожка драгоценных сверкающих камней подчеркивает красоту центрального камня и создает впечатление дорогого ювелирного изделия премиум-класса.

Приобретение кольца с бриллиантом Эмеральд — это инвестиция в вашу индивидуальность. Будьте уверены, что ваше приобретение останется актуальным долгие годы благодаря своему стилю и привлекательному дизайну.

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.   * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.

";по запросу;;;
9;DSC_2533.jpg;Кольца с цветными камнями;Кольцо с цитрином и бриллиантами;"Кольцо из золота с цитрином конореечного цвета и природными бриллиантами багетной огранки

Кольцо с жёлтым цитрином сочитает классику благородства и смелые современные тенденции дизайна. Отличительной чертой изделия становится центральный цитрин насыщенного конореечного оттенка, признанного топовым среди всех оттенков цитрина. Благодаря природным свойствам камня кольцо обладает глубокими выразительными красками, играющими светом при каждом движении руки.

 Характеристики кольца:

- Материал: золото 750/585 пробы (кольцо возможно выполнить в белом золоте, розовом золоте, жёлтом золоте). Центральный камень: Цитрин натурального происхождения, обладающий насыщенным конореечным оттенком, символизирующим богатство и успех.
Дополнительные камни: природные бриллианты багетной огранки.


Уникальное сочетание натуральных материалов и изысканного дизайна привлекает внимание и выделяет вас среди окружающих.
Качество изготовления соответствует международным стандартам ювелирного дела, обеспечивая долговечную привлекательность изделия.
Идеально подходит как подарок самому себе, так и близким людям, стремящимся подчеркнуть свою уникальность и значимость.

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
  * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";180 000,00  ;;;
10;DSC_2542.jpg;Кольца с бриллиантами;Кольцо с бриллиантом изумрудной огранки;"Представляем вашему вниманию уникальное золотое кольцо с ослепительным центром внимания — бриллиантом огранки Эмеральд (Изумрудная огранка). Это кольцо покорит сердца поклонников классического и одновременно современного подхода к созданию ювелирных изделий.

Характеристики изделия: 
- Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  изумрудной огранки (возможно, сделать индивидуальный подбор драгоценных камней).
- Дополнительные камни: природные бриллианты в дорожке.


Почему стоит выбрать именно это кольцо?

- Современный дизайн, сочетающийся с классической эстетикой.
- Эксклюзивность огранки центрального камня привлекают внимание и создают особый статус владельцу.
- Великолепно дополнит любые образы — от повседневных до праздничных мероприятий.

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.    * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней";по запросу;;;
;DSC_2552.jpg;;;;;;;
11;DSC_2557.jpg;женские Обручальные кольца;Женское обручальное кольцо с бриллиантом принцесса;"Женское обручальное кольцо шириной 3,0 мм с центральной вставкой бриллиантом фантазийной огранки ""Принцесса"". (бриллиант квадратной формы)

Представляем изящное женское обручальное кольцо, из белого золота с бриллиантом 

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  фантазийной огранки принцесса F VVS1 (возможно, сделать индивидуальный подбор драгоценных камней). 
- Ширина кольца: 3,0 мм обеспечивает комфортное ежедневное использование и гармонично сочетается с любым образом.

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";106 000,00  ;;;
;DSC_2563.jpg;;;;;;;
12;DSC_2571.jpg;Помолвочные кольца;Помолвочное кольцо с бриллиантом;"Женское помолвочное кольцо из белого золота с натуральным бриллиантом 0,25 карат

 Изысканное кольцо для незабываемых моментов. Уверенно заявляйте миру о своем выборе, надев красивое и современное помолвочное кольцо из белого золота с великолепным природным бриллиантом круглой огранки весом 0,25 карат.

 Классический дизайн: гармоничное исполнение придаёт внешнему виду легкость и воздушность, идеально вписываясь в любой образ невесты.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки 0,25 карат F VVS1 (возможно, сделать индивидуальный подбор драгоценных камней). 

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";79 000,00  ;;;
13;DSC_2574.jpg;Помолвочные кольца;Помолвочное кольцо с бриллиантом;"Помолвочное кольцо из белого золота с природным бриллиантом 0,28 карат

Ваш символ искренней любви и гармонии, воплощенный в современном дизайне и неподражаемом стиле. Стройное, легкое кольцо из белого золота демонстрирует красоту бриллианта, закрепленного надежной оправой.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки 0,28 карат F VVS1  (возможно, сделать индивидуальный подбор драгоценных камней).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.
";94 000,00  ;;;
;DSC_2578.jpg;;;;;;;
14;DSC_2591.jpg;Помолвочные кольца;Помолвочное кольцо с бриллиантом 0,5 карат;"Помолвочное кольцо из белого золота с круглым природным бриллиантом 0,4 карат

 Символ вашей бесконечной любви и преданности. Представляем идеальное решение для каждого мужчины, решившего сделать важный шаг навстречу семейному счастью — женское помолвочное кольцо из белого золота с шикарным блестящим бриллиантом в центре. Классический дизайн — вне моды и времен.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки 0,4 карат. F VVS1   (возможно, сделать индивидуальный подбор драгоценных камней). 

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";169 000,00  ;;;
15;DSC_2593.jpg;Помолвочные кольца;Помолвочное кольцо;"Помолвочное кольцо из белого золота с натуральным бриллиантом 0,3 карат и бриллиантовой дорожкой

 Ваш идеальный спутник для начала семейной истории. Представляем простое и одновременно очаровательное кольцо, которое сможет передать всю глубину и силу ваших чувств. Сделано из белого золота и украшено бриллиантами, придающими блеск и выразительность.

Дополнительная ценность: бриллиантовая дорожка по краю кольца усиливает общее восприятие и создаёт ещё большее количество ярких отсветов.

Универсальный классический дизайн позволит подобрать кольцо практически к любому образу и ситуации.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки 0,3 карат. F VVS1  (возможно, сделать индивидуальный подбор драгоценных камней). 
- Дополнительные вставки: бриллиантовая дорожка общим ввесом 0,024 карат

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.   Указанная стоимость не является публичной офертой.";177 000,00  ;;;
;DSC_2597.jpg;;;;;;;
;DSC_2600.jpg;;;;;;;
16;DSC_2603.jpg;Помолвочные кольца;Помолвочное кольцо с бриллиантом;"Женское кольцо клаччисеское с бриллиантом 0,3 карат
 Выразите свою любовь стильно и искренне! Презентуйте избраннице прекрасное кольцо, созданное специально для придания особой значимости моменту признания в чувствах.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки 0,3 карат F VVS1.  (возможно, сделать индивидуальный подбор драгоценных камней). 

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";147 000,00  ;;;
;DSC_2605.jpg;;;;;;;
17;DSC_2613.jpg;Помолвочные кольца;Помолвочное кольцо;"Помолвочное кольцо классическое с крупным природным бриллиантом.

 Символ вечной любви и преданности. Мы предлагаем вам поистине королевское произведение ювелирного искусства, воплощённое в классическом исполнении с большим природным бриллиантом, подчёркивающим глубокий смысл момента.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки от 0,4 карат F VVS1 .  (возможно, сделать индивидуальный подбор драгоценных камней). 

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";320 000,00  ;;;
;DSC_2615.jpg;;;;;;;
18;DSC_2619.jpg;Помолвочные кольца;Помолвочное кольцо с бриллиантом 0,3 карат;"Широкое помолвочное кольцо с крупным бриллиантом от 0,3 карат

 Наслаждайтесь чувством любви и заботы с каждым взглядом на кольцо, которое отражает самые светлые моменты вашей жизни! 
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Центральный камень: природный бриллиант  круглой огранки от 0,4 карат.  (возможно, сделать индивидуальный подбор драгоценных камней). 

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.   Указанная стоимость не является публичной офертой.";164 000,00  ;;;
;DSC_2620.jpg;;;;;;;
19;DSC_2631.jpg;мужские Обручальные кольца;Мужское широкой обручальное кольцо;"Мужское кольцо широкое с декором 
 Яркий и мужественный аксессуар, который обратит на вас внимание в любой ситуации!

Это массивное мужское кольцо с узором «Лёд» символизирует стойкость характера и внутреннюю энергию обладателя. Идеально впишется в стиль уверенных в себе мужчин, предпочитающих оригинальные решения в оформлении внешности.
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";99 000,00  ;;;
;DSC_2650.jpg;;;;;;;
