;;;;;Стоимость;;фото для баннеров;
20;DSC_2661.jpg;мужские Обручальные кольца;Мужское обручальное кольцо с эксклюзивным дизайном;"Мужское обручальное кольцо из золота с эксклюзивным Дизайном.


Обручальное кольцо для настоящих джентльменов, стремящихся подчеркнуть свою уникальную личность и индивидуальность. Обручальное кольцо выполнено из золота высшей пробы и украшено оригинальным декором, что придает ему особое значение и выделяет вас среди остальных. Идеально подходит для ежедневного использования благодаря комфортной посадке и гладким краям.


Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
 * Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.";150 000,00  ;;;
;DSC_2663.jpg;;;;;;;
21;DSC_2677.jpg;мужские Обручальные кольца;Мужское классическое обручальное кольцо;"Представляем вашему вниманию классическое  узкое мужское кольцо с уникальным исполнением граней. Простой, но стильный дизайн позволяет носить кольцо ежедневно, подчеркивая ваш личный стиль. Благодаря эргономичной форме и удобному размеру кольцо идеально сидит на пальце. Главное преимущество этого кольца в том, что оно символизирует постоянство и верность в отношениях.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.    Указанная стоимость не является публичной офертой.
";84 000,00  ;;;
;DSC_2673.jpg;;;;;;;
22;DSC_2725.jpg;Обручальные кольца;Обручальные кольца с изумрудами и бриллиантами из комбинированного золота;"Обручальные кольца из комбинированного золота с природными бриллиантами и изумрудами. Созданы для вечной любви. Настоящие природные бриллианты и изумруды подчеркнут вашу уникальность и индивидуальность. Идеальное сочетание разных оттенков металла придаёт кольцам изысканность и элегантность. Каждое кольцо создано вручную мастерами ювелирного дела, обеспечивая неповторимый стиль и оригинальность.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты и изумруды в женском и мужском кольце круглой огранки  (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
    Указанная стоимость не является публичной офертой.
";360 000,00  ;;;
;DSC_2726.jpg;;;;;;;
23;DSC_2764.jpg;Обручальные кольца;Обручальные кольца классические с бриллиантовой дорожкой;"Элегантные обручальные кольца из белого золота классического стиля с из бриллиантовой дорожкой. Эти кольца символ любви и гармонии. Обручальные кольца подчеркнут ваш индивидуальный вкус и статус. Бриллиантовая дорожка создаёт создаёт мерцающий эффект, привлекая внимание окружающих. 

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине). Вставки: Природные бриллианты общим весом 0,182 карат F VVS1 

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";139 000,00  ;;;
;DSC_2882.jpg;;;;;;;
24;DSC_2786.jpg;Обручальные кольца;Обручальные кольца с уникальным узором;"Обручальные кольца из белого золота с уникальным плетёным узором. Предлагаем вашему вниманию роскошные обручальные кольца, изготовленные из белого золота с оригинальным плетёным узором шириной 5 мм. Кольца станут прекрасным дополнением вашего образа и ярким выражением чувства единства двух сердец. Стильный плетёный узор добавляет кольцам оригинальности и современности, выгодно выделяя вас среди остальных. Ширина 5 мм: Универсальный выбор для мужчин и женщин, обеспечивающий комфорт и эстетику одновременно.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";230 000,00  ;;;
;DSC_2794.jpg;;;;;;;
25;DSC_2803.jpg;Обручальные кольца;Обручальные кольца из золота с отпечатками пальцев;"Обручальные кольца из золота с отпечатком оалец и бриллиантом. Хотите удивить любимого человека уникальной вещью? Тогда выбирайте оригинальные золотые обручальные кольца с гравировкой отпечатков пальцев и сияющим натуральным бриллиантом. Эти кольца воплотят память о ваших уникальных прикосновениях навсегда. Настоящий отпечаток пальца: теперь ваши кольца не только украшение, но и уникальное выражение эмоций.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";144 000,00  ;;;
26;DSC_2824.jpg;Обручальные кольца;Классические обручальные кольца с бриллиантами;"Обручальные кольца классические с бриллиантовой дорожкой.

Идеально подходящие друг другу, наши классические обручальные кольца станут символом вашей любви и верности. Изготовленные из золота или платины, женское кольцо украшено изящной бриллиантовой дорожкой, подчеркивающей вашу уникальность и индивидуальность.

Благодаря нашему опыту и мастерству ювелиров, мы создаем изделия, которые будут радовать вас долгие годы своей красотой и качеством исполнения.
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты общим весом 0,195 карат G VVS1 (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";180 000,00  ;;;
27;DSC_2831.jpg;Обручальные кольца;Обручальные кольца с природными бриллиантами;"Парные обручальные кольца с природными бриллиантами. Когда любовь объединяет сердца, самое важное — подчеркнуть её уникальность и гармонию. Наши пары обручальных колец созданы специально для тех, кто ценит тонкие акценты и стремление выразить глубокие чувства. Женское кольцо сияет чистотой белых бриллиантов, играющих лучами света и придавая образу особую элегантность. Мужское кольцо демонстрирует глубину и уверенность в себе благодаря чарующему оттенку черных бриллиантов, притягивающих взгляды и олицетворяющих силу духа.
 Особый символизм: белые и черные бриллианты представляют собой баланс противоположностей, подобно самой природе любви — тихой радости и бурным эмоциям.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";387 000,00  ;;;
28;DSC_2836.jpg;Обручальные кольца;"Обручальные кольца с геометрической фактурой
";"Геометрическая пара обручальных колец из жёлтого золота. Хотите привлечь внимание окружающих красивым дизайном и современным стилем? Тогда обратите внимание на уникальную пару обручальных колец из натурального жёлтого золота с четкими геометрическими гранями на поверхности. Эта пара обручальных колец создана специально для тех, кто ищет нечто необычное и современное. Мягкий блеск и контраст гладких поверхностей с чёткими линиями граней создают особый шарм и визуально освежают привычный облик классических золотых колец. Четкие грани придают дополнительный объем и выразительность кольцам, делая их действительно заметными. 

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.
   Указанная стоимость не является публичной офертой.";162 000,00  ;;;
29;DSC_2840.jpg;Обручальные кольца;Обручальные кольца с геометрическим узором;"Элегантная пара обручальных колец из желтого золота с геометрическим переплетающимся узором. Эксклюзивная пара обручальных колец, выполненных из жёлтого золота и декорированных тонким геометрическим орнаментом. Современные линии и стильный рисунок, повторяющийся на каждом из колец, гармонично объединяют пару в единое целое, символизируя неразрывную связь и взаимопонимание.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";189 000,00  ;;;
30;DSC_2849.jpg;Обручальные кольца;Обручальные кольца с бриллиантами из комбиинированного золота ;"Шикарная пара обручальных колец из комбинированного золота с бриллиантами огранки «Принцесса». Если вы ищете уникальный подарок, подчеркивающий чувство вкуса и стиля, тогда эта пара обручальных колец — именно то, что нужно. Выполненная в сочетании теплого жёлтого и холодного белого золота, она сочетает в себе обаятельную элегантность и современный шик. Особенность женского кольца — бриллианты в огранке «Принцесса», имеющие форму квадрата. Такая редкая форма придает кольцу дополнительную привлекательность и характер, подчёркивая вашу индивидуальность и особенность.
 
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты квадратной формы. Огранка ""Принцесса"".  (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";228 000,00  ;;;
;DSC_2864.jpg;;;;;;;
31;DSC_2852.jpg;Обручальные кольца;Обручальные кольца из белого золота с переплетением и бриллиантами;"Очаровательная пара обручальных колец с переплетением и искрящимися бриллиантами.

 Мечтаете об оригинальных и стильных обручальных кольцах, которые подчеркнут вашу уникальность и романтичность? Вашему вниманию представлена уникальная пара обручальных колец, выполненная с  переплетением с добавлением искрящихся бриллиантов в женском кольце. Особенность женского кольца: Игривость бриллиантов делает женское кольцо необычайно красивым и привлекательным. 

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";;;;
32;DSC_2869.jpg;Обручальные кольца;Обручальные кольца с резьбой;"Обручальные кольца с резьбой — вечный символ истинной любви.
 Ищете оригинальные и значимые обручальные кольца, способные рассказать историю вашей любви? Предлагаем вашему вниманию уникальную пару колец с тонкой ручной резьбой, которая превращает обычные кольца в личные талисманы вашего семейного счастья. Каждая линия резьбы — это отражение глубоких чувств и связи между двумя сердцами. Наряду с традиционной формой, особая декоративная техника превращает кольца в настоящие произведения искусства.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";162 000,00  ;;;
33;DSC_2875.jpg;Обручальные кольца;Обручальные кольца из комбинированного золота с бриллиантом;"Обручальные кольца из комбинированного белого и жёлтого золота. Полностью новая концепция сочетания белого и жёлтого золота открывает дверь к созданию совершенно особых обручальных колец, символизирующих чистую любовь и яркие эмоции. Центральное положение природного бриллианта в женском кольце лишь подчеркивает страсть и искренность намерений. 
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природный бриллиант 0,018 карат G VVS2 (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";157 000,00  ;;;
34;DSC_2878.jpg;женские Обручальные кольца;Женское обручальное кольцо с бриллиантами;"Женское обручальное кольцо классическое с бриллиантовой дорожкой.  Женское обручальное кольцо с оригинальной бриллиантовой дорожкой — оно станет настоящим символом любви и верности на многие десятилетия вперед.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты общим весом 0,195 карат G VVS2 (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";83 000,00  ;;;
35;DSC_2887.jpg;Обручальные кольца;Обручальные кольца ажурные;"Обручальные кольца с резным узором из белого и жёлтого золота. 

Наслаждайтесь элегантностью и утонченностью обручальных колец с изысканным резным узором, выполненных из драгоценного белого и жёлтого золота. Благодаря дизайну кольца сразу обратят на себя внимание окружающих. 

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";144 000,00  ;;;
36;DSC_2896.jpg;женские Обручальные кольца;Женское обручальное кольцо с крупной бриллиантовой дорожкой;"Потрясающее обручальное кольцо из белого золота с дорожкой крупных бриллиантов. Кольцо из белого золота, щедро украшено большими сверкающими бриллиантами. Кольцо привлекает внимание окружающих. Крупные бриллианты  добавляет серьёзности и драматизма облику кольца, моментально бросаясь в глаза.

Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты общим весом 0,24 карат G VVS1 (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";315 000,00  ;;;
37;DSC_2904.jpg;мужские обручальные кольца;Классическое мужское обручальное кольцо;"Элегантное классическое обручальное кольцо из белого золота. Именно это кольцо  подчеркнёт серьезность. 
Кольцо превосходно впишется в гардероб тех, кто предпочитаетлаконичный стиль и классический дизайн.


Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).

Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";79 000,00  ;;;
38;DSC_2953.jpg;Серьги, пусеты;"Пусеты с бриллиантом ""Ашер""";"Восхитительные пусеты с центральным крупным бриллиантом огранки «ашер». Прислушиваясь к пожеланиям самых требовательных покупательниц, представляем новую модель пусет, центральной особенностью которой является огромный центральный бриллиант огранки Asher, окруженный кружевом из сверкающих бриллиантов.

 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.

   Указанная стоимость не является публичной офертой.";по запросу;;;
39;DSC_3183.jpg;Серьги, пусеты;Пусеты с жёлтыми бриллиантами;"Пусеты с центральным крупным желтым бриллиантом огранки «Ашер».  Раскрасьте свой образ с помощью новых ярких пусет, в центре которых сверкает завораживающий желтый бриллиант огранки Asher. Игра солнечного света на камне привнесет в атмосферу праздника легкое дыхание свободы и ощущения удачи.
 Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";по запросу;;;
40;DSC_3189.jpg;женские Обручальные кольца;Женское обручальное кольцо с бриллиантами;"Классическое кольцо из белого золота с бриллиантами. Для придания этому кольцу особой изысканности использованы наилучшие природные бриллианты. 
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: природные бриллианты G VVS2 (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";180 000,00  ;;;
41;DSC_3196.jpg;Серьги, пусеты;Пусеты из белого золота с грозовой шпинелью;"Изысканные пусеты из белого золота со шпинелью топового мтального оттенка. Откройте для себя мир элегантности и утонченности с новыми пусетами из белого золота, украшенными шпинелью топового стального оттенка. 
Характеристики: 
Материал: золото 750/580 пробы, платина (кольцо, возможно, выполнить в белом золоте, розовом золоте, жёлтом золоте или платине).
- Драгоценные вставки: Шпинель топового стального цветаю  (возможно, сделать индивидуальный подбор драгоценных камней).
Как заказать?
Свяжитесь с нашим менеджером для консультации и расчёта стоимости вашего персонального украшения. Мы поможем подобрать идеальный вариант, учитывая ваши предпочтения и бюджет.

* Окончательная стоимость изделия рассчитывается менеджером индивидуально, с учетом ваших размеров, выбранного материала и характеристик камней.
   Указанная стоимость не является публичной офертой.";165 000,00  ;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;